streak_id,student_id,streak_active,streak_frozen,streak_created
627151,296993,0,1,"12/1/2022 0:00"
684387,294387,0,1,"12/1/2022 0:00"
722352,297781,1,1,"12/1/2022 0:00"
722353,297781,0,1,"12/1/2022 0:00"
757246,107278,0,1,"12/1/2022 0:00"
791030,281395,0,1,"12/1/2022 0:00"
809885,333853,0,1,"12/1/2022 0:00"
817552,361294,0,1,"12/1/2022 0:00"
821679,318177,0,1,"12/1/2022 0:00"
822474,312849,0,1,"12/1/2022 0:00"
824685,318257,0,1,"12/1/2022 0:00"
825984,299693,0,1,"12/1/2022 0:00"
826272,254372,0,1,"12/1/2022 0:00"
827825,296203,0,1,"12/1/2022 0:00"
828921,357325,0,1,"12/1/2022 0:00"
830966,184533,1,1,"12/1/2022 0:00"
831557,453682,1,1,"12/1/2022 0:00"
832975,419038,0,1,"12/1/2022 0:00"
834243,305504,0,1,"12/1/2022 0:00"
833241,454010,1,0,"12/1/2022 0:00"
833242,269660,1,0,"12/1/2022 0:01"
833243,242790,1,0,"12/1/2022 0:01"
833244,377862,1,0,"12/1/2022 0:01"
833245,453912,1,0,"12/1/2022 0:02"
833246,383391,1,0,"12/1/2022 0:02"
833247,337132,1,0,"12/1/2022 0:03"
833248,431234,1,0,"12/1/2022 0:03"
833249,365107,1,0,"12/1/2022 0:03"
833250,419317,1,0,"12/1/2022 0:03"
833251,315048,1,0,"12/1/2022 0:04"
833252,293951,1,0,"12/1/2022 0:05"
833253,271761,1,0,"12/1/2022 0:05"
833254,354722,1,0,"12/1/2022 0:07"
833255,266766,1,0,"12/1/2022 0:07"
833256,260345,1,0,"12/1/2022 0:10"
833257,1791,1,0,"12/1/2022 0:12"
833258,382810,1,0,"12/1/2022 0:13"
833259,427200,1,0,"12/1/2022 0:13"
833260,429700,1,0,"12/1/2022 0:13"
833261,328067,1,0,"12/1/2022 0:16"
833262,328665,1,0,"12/1/2022 0:18"
833263,433183,1,0,"12/1/2022 0:18"
833264,404729,1,0,"12/1/2022 0:19"
833265,429214,1,0,"12/1/2022 0:19"
833266,453885,1,0,"12/1/2022 0:21"
833267,303148,1,0,"12/1/2022 0:23"
833268,146968,1,0,"12/1/2022 0:24"
833269,1306,1,0,"12/1/2022 0:25"
833270,387930,1,0,"12/1/2022 0:27"
833271,157226,1,0,"12/1/2022 0:28"
833272,291487,1,0,"12/1/2022 0:28"
833273,341941,1,0,"12/1/2022 0:32"
833274,451426,1,0,"12/1/2022 0:34"
833275,287565,1,0,"12/1/2022 0:34"
833276,433149,1,0,"12/1/2022 0:40"
833277,433475,1,0,"12/1/2022 0:41"
833278,455143,1,0,"12/1/2022 0:41"
833279,308736,1,0,"12/1/2022 0:42"
833280,276788,1,0,"12/1/2022 0:42"
833281,444887,1,0,"12/1/2022 0:42"
833282,318419,1,0,"12/1/2022 0:42"
833283,291116,1,0,"12/1/2022 0:42"
833284,407874,1,0,"12/1/2022 0:49"
833285,282751,1,0,"12/1/2022 0:50"
833286,310861,1,0,"12/1/2022 0:51"
833287,455146,1,0,"12/1/2022 0:54"
833288,296237,1,0,"12/1/2022 0:59"
833289,287916,1,0,"12/1/2022 1:00"
833290,295419,1,0,"12/1/2022 1:00"
833291,40867,1,0,"12/1/2022 1:01"
833292,370448,1,0,"12/1/2022 1:02"
833293,268287,1,0,"12/1/2022 1:03"
833294,284482,1,0,"12/1/2022 1:09"
